name,decimallongitude,decimallatitude,city,country,address,source,type,geocoding.precision.m,geocoding.issue,geocoding.source,inside.ptoected.area.WDPAID
Cephalonia Botanica,20.4881406,38.1781297,Cephalonia,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Hippocrates Botanical Garden of Kos,27.055206,36.809422,Kos,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Argotti Botanic Gardens  Herbarium,14.502722,35.8925277,Floriana,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Northwestern University Ecotourism Park and Botanic Gardens,120.5677065,18.1865822,Laoag City,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Durban Botanic Garden,31.0062614,-29.8479401,Durban,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Jardin Botanico Viera y Clavijo,-15.4601685,28.06548,Las Palmas de Gran Canaria,NA,NA,BCGI,Botanic_garden,10,NA,automatic,142929
Jardin de Aclimatacion de la Orotava,-16.5358156,28.4115645,Tenerife,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
"Phuket Zoo Co, Ltd",98.358525,7.8427524,Phuket,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Turks and Caicos Botanical and Cultural Garden,-71.1474772,21.4715278,Grand Turk,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Tresco Abbey Garden,-6.3329637,49.9465289,NA,NA,NA,BCGI,Botanic_garden,10,NA,automatic,4877
Cruickshank Botanic Gardens,-2.1048099,57.1677953,Aberdeen,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Logan Botanic Garden,-4.9592381,54.7420055,Stranraer,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
National Tropical Botanical Garden,-159.50582,21.902151,Kalaheo,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Key West Tropical Forest  Botanical Garden,-81.748672,24.573176,Key West,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
"Polly Hill Arboretum, The",-70.6771814,41.3975414,West Tisbury,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
St George Village Botanic Garden,-64.8301437,17.7154112,Frederiksted,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Institut National de la Recherche Agronomique and Parc National de Guadeloupe,-61.6814518,16.1309319,Petit Bourg,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,555587038
Musee de Tahiti et des Iles,-149.6138763,-17.6323661,Punaauia,NA,Pointe des Pcheurs,indexherbariorum,Herbarium,10,NA,automatic,NA
"St Xavier s College, Botany Department",72.83125,18.942673,Mumbai,NA,Mahapalika Marg,indexherbariorum,Herbarium,10,NA,automatic,NA
Australian Institute of Marine Science,147.054678,-19.2677,Townsville,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"National Trust for the Cayman Islands, Environmental Programs",-81.3918739,19.2808814,Grand Cayman,NA,"17 Courts Road, George Town",indexherbariorum,Herbarium,10,NA,automatic,NA
"Universidade Federal do Maranhao, Curso de Farmacia",-44.3060776,-2.552243,So Lus,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Colegio del Sagrado Corazon,-75.1001687,19.9026482,Guantnamo,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Universite de la Reunion, Faculte des Sciences et des Technologies",55.481468,-20.902714,Sainte-Clotilde,NA,"Campus Universitaire du Chaudron, a short distance east of Saint-Denis",indexherbariorum,Herbarium,10,NA,automatic,NA
"Universite de la Reunion, Laboratoire de Biologie Vegetale",55.481468,-20.902714,Sainte-Clotilde,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"National Sun Yat-Sen University, Department of Biological Sciences",120.265843,22.6264249,Kaohsiung,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Nassau Botanical Gardens, Department of Agriculture",-77.3591566,25.0760566,Nassau,NA,Chippingham Road,indexherbariorum,Herbarium,10,NA,automatic,NA
"University of the Ryukyus, Faculty of Education",127.7665972,26.2446632,Nishihara,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Jardin Botanico Canario Viera y Clavijo,-15.4601685,28.06548,Las Palmas De Gran Canaria,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,142929
Jardin Botanico Canario Viera y Clavijo,-15.4601685,28.06548,Las Palmas De Gran Canaria,NA,"Carretera del Centro, Km 7",indexherbariorum,Herbarium,10,NA,automatic,142929
"Instituto Canario de Investigaciones Agrarias (ICIA), Jardin de Aclimatacion de la Orotava",-16.5358156,28.4115645,Puerto De La Cruz,NA,Puerto de La Cruz,indexherbariorum,Herbarium,10,NA,automatic,NA
"Museo de Ciencias Naturales, Departamento de Botanica",-16.2494847,28.4638576,Santa Cruz De Tenerife,NA,Fuente Morales 1,indexherbariorum,Herbarium,10,NA,automatic,NA
"Universidad de La Laguna, Facultad de Farmacia, Departamento de Biologia Vegetal (Botanica)",-16.3219543,28.4788521,La Laguna,NA,Avenida Astrofisico Francisco Snchez,indexherbariorum,Herbarium,10,NA,automatic,NA
"Universidad de Playa Ancha, Departamento de Biologia y Quimica",-71.6405519,-33.0246667,Valparaso,NA,Playa Ancha,indexherbariorum,Herbarium,10,NA,automatic,NA
"Universidad de la Republica, Facultad de Quimica, Catedra de Botanica Farmaceutica",-56.1854938,-34.88843,Montevideo,NA,Avenida General Flores 2124,indexherbariorum,Herbarium,10,NA,automatic,NA
Museo y Jardin Botanico,-56.2000483,-34.858988600000004,Montevideo,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Universidad de la Republica, Facultad de Ciencias, Seccion Micologia",-56.1173626,-34.8820993,Montevideo,NA,Igu 4225,indexherbariorum,Herbarium,10,NA,automatic,NA
"Ministerio de Ganaderia y Agricultura, Direccion de Agronomia",-56.1843878,-34.9056197,Montevideo,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Mediterranean Agronomic Institute of Chania, Department of Natural Products",24.0487678,35.494267,Chania,NA,Alsyllion Agrokepion,indexherbariorum,Herbarium,10,NA,automatic,NA
Argotti Botanic Garden,14.502722,35.8925277,Floriana,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Museu de Historia Natural do Seminario do Funchal,-16.9123327,32.6493937,Funchal,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Liaoning Normal University, Biology Department",121.561079,38.918088,Dalian,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Fundacio Jardi Botanic de Soller,2.709374,39.764313,Sller,NA,"Ctra Palma-Port de Sller, Km 30, 5",indexherbariorum,Herbarium,10,NA,automatic,NA
Natural History Museum,-123.3674497,48.4198111,Victoria,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Istanbul University, Science Faculty, Botany Department",28.961838,41.0126037,Istanbul,NA,"Botany Department, Science Faculty",indexherbariorum,Herbarium,10,NA,automatic,NA
Nantucket Maria Mitchell Associationtural Sciences Department,-70.1047952,41.2803132,Nantucket,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Jardi Botanic Marimurtra, Technical Department",2.8018515,41.6767268,Blanes,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Universite Pierre et Marie Curie, Laboratoire Arago",3.1367004,42.4804143,Banyuls-Sur-Mer,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,555526770
