originalPlace	interpretedPlace	longitude	latitude	xmin	xmax	ymin	ymax	uncertainty
'Aegean Agricultural Research Institute, Department of Plant Genetic Resources', 'Izmir, Turkey'	Izmir, İzmir, Turkey	27.142826	38.423734	26.8549491	27.304485	38.290113	38.5452371	19516
'African Centre for DNA Barcoding', 'Johannesburg, South Africa'	Johannesburg, South Africa	28.0473051	-26.2041028	27.942449	28.1376001	-26.2389231	-26.1041199	11166
'Agence Prive d'Expertise et de Conseils pour le Dveloppement Inclusif (APECDI)', 'Abomey-Calavi, Benin'	NA	NA	NA	NA	NA	NA	NA	NA
'Agricultural Academy', 'Poznan, Poland'	Dojazd 11, 60-637 Poznań, Poland	16.9004381	52.432601	16.8990891	16.9017871	52.431252	52.43395	176
'Agricultural Development and Advisory Service', 'Harpenden, United Kingdom'	Harpenden AL5, UK	-0.358953	51.81846	-0.4103263	-0.3139465	51.7901681	51.8356807	3647
'Agricultural Experiment Station', 'Lviv, Ukraine'	Hamblen Ave, Fayetteville, AR 72704, USA	-94.1788816	36.0991517	-94.1802306	-94.1775326	36.0978027	36.1005007	193
'Agricultural Experiment Station', 'Lviv, Ukraine'	1232 240th Ave, Hays, KS 67601, USA	-99.3353861	38.858672	-99.3367351	-99.3340371	38.857323	38.860021	190
'Agricultural Research Centre', 'Tikkurila, Finland'	Tikkurila, 01300 Vantaa, Finland	25.0376944	60.2932539	25.021687	25.0537018	60.287724	60.2987829	1078
'Agricultural Research Centre, Plant Pathology Department', 'Tikkurila, Finland'	Tikkurila, 01300 Vantaa, Finland	25.0376944	60.2932539	25.021687	25.0537018	60.287724	60.2987829	1078
'Agricultural Science Institute of North-Central Vietnam', 'Vietnam'	NA	NA	NA	NA	NA	NA	NA	NA
'Agricultural Scientific Collections Unit', 'Orange, Australia'	Orange NSW 2800, Australia	149.1	-33.283333	148.9657788	149.1577478	-33.3379134	-33.1641714	13888
'Agriculture Canada Research Station', 'Canada'	NA	NA	NA	NA	NA	NA	NA	NA
'Agrupamento de Biotecnologia, Culture Collection of Microorganisms', 'Brazil'	NA	NA	NA	NA	NA	NA	NA	NA
'AHU Culture Collection', 'Japan'	NA	NA	NA	NA	NA	NA	NA	NA
'Albertson College, Museum of Natural History', 'United States'	Caldwell, ID 83605, USA	-116.6776926	43.6529473	-116.6790416	-116.6763436	43.6515983	43.6542963	185
'Alemaya University of Agriculture, Plant Sciences', 'Dire Dawa, Ethiopia'	East Harerge, Ethiopia	42.034531200000004	9.4082912	42.0331822	42.0358802	9.4069422	9.4096402	210
'Alexander Herzen Pedagogical University', 'Saint Petersburg, Russia'	embankment river Moyka, 48, Sankt-Peterburg, Russia, 191186	30.3197577	59.9353367	30.3184087	30.3211067	59.9339877	59.9366857	168
'Alexander Herzen Pedagogical University, Faculty of Biology, Department of Botany', 'Saint Petersburg, Russia'	St Petersburg, Russia	30.3350986	59.9342802	29.4464432	30.7349362	59.6468681	60.233527	40085
'Algal Culture Collection', 'Philippines'	Univesity of the Philippines - Los Banos College, Los Banos, Laguna, Philippines	121.2606401	14.1507251	121.2592911	121.2619891	14.1493761	14.1520741	209
'ALGOBANK', 'France'	France	2.213749	46.227638	-5.5591	9.6624999	41.31433	51.1241999	772195
'Algotheque du Laboratoire de Cryptogamie', 'France'	France	2.213749	46.227638	-5.5591	9.6624999	41.31433	51.1241999	772195
'All-Russian Research Institute of Medicinal and Aromatic Plants', 'Moscow, Russia'	Moscow, Russia	37.6172999	55.755826	36.8032249	37.9678221	55.142591	56.0214609	36821
'All-Russian Research Institute of Medicinal and Aromatic Plants, Russian Academy of Agriculture', 'Moscow, Russia'	Moscow, Russia	37.6172999	55.755826	36.8032249	37.9678221	55.142591	56.0214609	36821
'All-Russian Research Institute of Plant Protection', 'Saint Petersburg, Russia'	Bol'shaya Morskaya Ulitsa, 42-44, Sankt-Peterburg, Russia, 190000	30.3067866	59.9319474	30.3054376	30.3081356	59.9305984	59.9332964	168
'All Saint s Church, Museum of Natural History, Colchester Borough Council', 'Colchester, United Kingdom'	66 High St, Colchester CO1 1DN, UK	0.9038805	51.8895213	0.9025315	0.9052295	51.8881723	51.8908703	177
'American Plant Life Society', 'La Jolla, United States'	La Jolla, San Diego, CA, USA	-117.2712717	32.8328112	-117.2831297	-117.2140144	32.8053774	32.939665	3239
'Amphibian Collection', 'Colombia'	NA	NA	NA	NA	NA	NA	NA	NA
'Andean Botanic Garden Project', 'Santiago, Chile'	Santiago, Santiago Metropolitan Region, Chile	-70.6692655	-33.4488897	-70.8328819	-70.4267807	-33.6741885	-33.2713874	29245
'Andong National University, School of Bioresource Science', 'Andong, South Korea'	NA	NA	NA	NA	NA	NA	NA	NA
'Animal Health Division Culture Collection', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Antarctic Protistan Culture Collection (Woods Hole Oceanographic Institution)', 'United States'	NA	NA	NA	NA	NA	NA	NA	NA
'Antigua Estacion Experimental Agronomica', 'Habana, Cuba'	Antigua, Antigua and Barbuda	-61.8175207	17.0746557	-61.9062506	-61.6729244	16.9975787	17.1737597	12728
'Antigua Estacion Experimental Agronomica', 'Habana, Cuba'	Havana, Cuba	-82.3665956	23.1135925	-82.574873	-82.0911311	22.9200574	23.1813159	29191
'Antigua Estacion Experimental Agronomica, Instituto de Agronomia', 'Habana, Cuba'	Antigua, Antigua and Barbuda	-61.8175207	17.0746557	-61.9062506	-61.6729244	16.9975787	17.1737597	12728
'Antigua Estacion Experimental Agronomica, Instituto de Agronomia', 'Habana, Cuba'	Havana, Cuba	-82.3665956	23.1135925	-82.574873	-82.0911311	22.9200574	23.1813159	29191
'Aquaculture Center of Aomori Prefecture', 'Japan'	Aomori Prefecture, Japan	140.7399984	40.8243077	139.8587195	141.6830976	40.2177591	41.5562377	100566
'Arachnid Collection of Egypt', 'Egypt'	Egypt	30.802498	26.820553	24.696775	37.0569	21.9999999	31.8122	817424
'Arachnology Division, Sacred Heart College', 'Thevara, India'	Pandit Karuppan Rd, Thevara, Ernakulam, Kerala 682013, India	76.2959813	9.9392053	76.2946323	76.2973303	9.9378563	9.9405543	210
'Arbeitsgemeinschaft Heuschrecken sterreichs', 'Vienna, Austria'	NA	NA	NA	NA	NA	NA	NA	NA
'Arbroath Scientific and Natural History Society', 'Arbroath, United Kingdom'	Arbroath DD11, UK	-2.591543	56.559107	-2.6269785	-2.5474901	56.5484705	56.5782501	2480
'ARC-Plant Protection Research Institute, National Collection of Fungi: Culture Collection', 'South Africa'	South Africa	22.937506	-30.559482	16.2816999	38.2216904	-47.1313489	-22.1254239	1786358
'ARC - Arctic Research and Consulting DA', 'Valer, Norway'	NA	NA	NA	NA	NA	NA	NA	NA
'Archaeology and Palaeontology', 'Madagascar'	Madagascar	46.869107	-18.766947	42.7368	50.9985001	-26.2146	-11.4369999	924418
'Arctos', 'United States'	United States	-95.712891	37.09024	-124.39	-66.885417	18.7763	71.5388001	3452879
'Arid Zone Experimental Station', 'Almera, Spain'	NA	NA	NA	NA	NA	NA	NA	NA
'Armagh Field Naturalists Society', 'Armagh, United Kingdom'	Armagh, UK	-6.652792	54.3502798	-6.6760899	-6.62102	54.32772	54.36632	2730
'ArOBIS Centro Nacional Patagnico', 'Puerto Madryn, Argentina'	NA	NA	NA	NA	NA	NA	NA	NA
'Art Gallery and Museumtural History Department', 'Glasgow, United Kingdom'	Argyle St, Glasgow G3 8AG, UK	-4.2906039	55.8685891	-4.2919529	-4.2892549	55.8672401	55.8699381	172
'Art Gallery and Museumtural History Department', 'Glasgow, United Kingdom'	University of Glasgow, 82 Hillhead St, Glasgow G12 8QQ, UK	-4.289102	55.8730183	-4.290451	-4.287753	55.8716693	55.8743673	172
'Arthropods of Medical Importance Resource Bank', 'Seoul, South Korea'	Seoul, South Korea	126.9779692	37.566535	126.7645827	127.1835899	37.4259627	37.7017495	23551
'Ashton-under-Lyne Linnean Botanical Society', 'Ashton-Under-Lyne, United Kingdom'	Ashton-under-Lyne, UK	-2.0961077	53.4876815	-2.1273208	-2.0487786	53.4744884	53.5227962	2540
'Asian Bacterial Bank', 'South Korea'	South Korea	127.766922	35.907757	124.5863	131.1603	33.0041	38.634	426703
'Asociacin Bogotana de Ornitologa', 'Bogot DC, Colombia'	NA	NA	NA	NA	NA	NA	NA	NA
'Asociacin GAICA', 'Pasto, Colombia'	NA	NA	NA	NA	NA	NA	NA	NA
'Asociacin Ibero-macaronsica de Jardines Botnicos', 'Valencia, Spain'	NA	NA	NA	NA	NA	NA	NA	NA
'Asociacin Primatolgica Colombiana', 'Bogot DC, Colombia'	NA	NA	NA	NA	NA	NA	NA	NA
'Asociacin Selva', 'Bogot D C, Colombia'	NA	NA	NA	NA	NA	NA	NA	NA
'Association for Nature WOLF', 'Lipowa, Poland'	Lipowa, Poland	19.0939008	49.6750613	19.0633687	19.1338622	49.6623615	49.7070702	2618
'Association for the Integral Development of the Manchuela Conquense area', 'Cuenca, Spain'	NA	NA	NA	NA	NA	NA	NA	NA
'Associazione Naturalisti Forlivesi Pro Museo', 'Italy'	Italy	12.56738	41.87194	6.6267201	18.7975999	35.4897	47.092	762462
